at,strategy,pair,direction,entry,stop_loss,tp1,rr,gate,detail,cost_share_pct
2026-08-30T19:25:28+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:25:47+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:30:54+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:31:13+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:35:24+00:00,FIBO,ETHUSDT,LONG,2492.42,2459.49656,2554.7749999999996,1.8939393939393792,предел издержек,вход слишком дорог: комиссии съедят 5.3% риска при пределе 5.0% — стоп стоит слишком тесно,5.283
2026-08-30T19:35:43+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:40:46+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:45:45+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:50:45+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
2026-08-30T19:55:46+00:00,SMC,SOLUSDT,LONG,103.58,102.75135999999999,104.67,5.221175661324546,предел издержек,вход слишком дорог: комиссии съедят 8.3% риска при пределе 5.0% — стоп стоит слишком тесно,8.342
